RT,nq,topk,vps
0.0273,1,1,36.63004
0.0283,1,200,35.33569
0.0296,1,500,33.78378
0.0312,1,1000,32.05128
0.0478,10,1,209.205
0.0488,10,200,204.918
0.0481,10,500,207.9002
0.0504,10,1000,198.4127
0.3127,100,1,319.7953
0.3186,100,200,313.8732
0.3577,100,500,279.5639
0.3993,100,1000,250.4383
1.336,500,1,374.2515
1.4171,500,200,352.8333
1.5994,500,500,312.6172
1.9375,500,1000,258.0645
2.6652,1000,1,375.2064
2.837,1000,200,352.485
3.4202,1000,500,292.3806
4.0583,1000,1000,246.4086
3.2625,1200,1,367.8161
3.5976,1200,200,333.5557
4.0379,1200,500,297.1842
4.8721,1200,1000,246.3004
5.5438,2000,1,360.7634
6.1316,2000,200,326.1791
6.7532,2000,500,296.1559
8.0977,2000,1000,246.9837
14.1123,5000,1,354.3009
14.9803,5000,200,333.7717
16.9175,5000,500,295.5519
20.0417,5000,1000,249.4798
29.0902,10000,1,343.7584
29.7621,10000,200,335.9978
32.9581,10000,500,303.4155
40.0512,10000,1000,249.6804
